QUERY_HASH,JOIN_MODE,LEFT_TABLE_NAME,LEFT_COLUMN_NAME,LEFT_TABLE_ROW_COUNT,RIGHT_TABLE_NAME,RIGHT_COLUMN_NAME,RIGHT_TABLE_ROW_COUNT,OUTPUT_ROWS,PREDICATE_COUNT,PRIMARY_PREDICATE,RUNTIME_NS
8a500b8350e13fe5,Semi,catalog_sales,cs_ship_date_sk,1441548,date_dim,d_date_sk,366,288032,1,=,27775196
8a500b8350e13fe5,Inner,catalog_sales,cs_ship_date_sk,288032,date_dim,d_date_sk,366,288032,1,=,12307164
8a500b8350e13fe5,Inner,catalog_sales,cs_warehouse_sk,288032,warehouse,w_warehouse_sk,5,287352,1,=,13990586
8a500b8350e13fe5,Inner,catalog_sales,cs_ship_mode_sk,287352,ship_mode,sm_ship_mode_sk,20,286984,1,=,13538614
8a500b8350e13fe5,Inner,catalog_sales,cs_call_center_sk,286984,call_center,cc_call_center_sk,6,286801,1,=,16584865
e045c72cfee071ed,Semi,store_sales,ss_sold_date_sk,2880404,date_dim,d_date_sk,366,553861,1,=,38941849
e045c72cfee071ed,Inner,store_sales,ss_sold_date_sk,553861,date_dim,d_date_sk,366,553861,1,=,26410899
e045c72cfee071ed,Semi,catalog_sales,cs_sold_date_sk,1441548,date_dim,d_date_sk,366,287535,1,=,22885157
e045c72cfee071ed,Inner,catalog_sales,cs_sold_date_sk,287535,date_dim,d_date_sk,366,287535,1,=,13343674
e045c72cfee071ed,FullOuter,store_sales,ss_customer_sk,547500,catalog_sales,cs_bill_customer_sk,287466,834792,2,=,154194819
65cf99f6be86c7f4,Left,store_returns,sr_ticket_number,2880404,store_sales,ss_ticket_number,287514,2880404,2,=,515340952
65cf99f6be86c7f4,Semi,store_returns,sr_reason_sk,2880404,reason,r_reason_sk,1,7983,1,=,55874057
65cf99f6be86c7f4,Inner,store_returns,sr_reason_sk,7983,reason,r_reason_sk,1,7983,1,=,748816
c86892b6d2937a1c,Semi,catalog_returns,cr_returned_date_sk,144067,date_dim,d_date_sk,30,1926,1,=,2248194
c86892b6d2937a1c,Semi,customer_address,ca_address_sk,100000,customer,c_current_addr_sk,5449,10847,1,=,2945184
c86892b6d2937a1c,Semi,household_demographics,hd_demo_sk,10847,customer,c_current_hdemo_sk,1200,1705,1,=,598299
c86892b6d2937a1c,Inner,customer_address,ca_address_sk,1705,customer,c_current_addr_sk,5449,1705,1,=,445895
c86892b6d2937a1c,Inner,household_demographics,hd_demo_sk,1705,customer,c_current_hdemo_sk,1200,1705,1,=,206953
c86892b6d2937a1c,Semi,customer_demographics,cd_demo_sk,109760,customer,c_current_cdemo_sk,1705,103,1,=,11800783
c86892b6d2937a1c,Semi,customer_address,ca_address_sk,100000,customer,c_current_addr_sk,5449,10847,1,=,2945184
c86892b6d2937a1c,Semi,household_demographics,hd_demo_sk,10847,customer,c_current_hdemo_sk,1200,1705,1,=,598299
c86892b6d2937a1c,Inner,customer_address,ca_address_sk,1705,customer,c_current_addr_sk,5449,1705,1,=,445895
c86892b6d2937a1c,Inner,household_demographics,hd_demo_sk,1705,customer,c_current_hdemo_sk,1200,1705,1,=,206953
c86892b6d2937a1c,Inner,customer_demographics,cd_demo_sk,103,customer,c_current_cdemo_sk,1705,103,1,=,193892
c86892b6d2937a1c,Semi,catalog_returns,cr_returning_customer_sk,1926,customer,c_customer_sk,103,1,1,=,289091
c86892b6d2937a1c,Semi,customer_address,ca_address_sk,100000,customer,c_current_addr_sk,5449,10847,1,=,2945184
c86892b6d2937a1c,Semi,household_demographics,hd_demo_sk,10847,customer,c_current_hdemo_sk,1200,1705,1,=,598299
c86892b6d2937a1c,Inner,customer_address,ca_address_sk,1705,customer,c_current_addr_sk,5449,1705,1,=,445895
c86892b6d2937a1c,Inner,household_demographics,hd_demo_sk,1705,customer,c_current_hdemo_sk,1200,1705,1,=,206953
c86892b6d2937a1c,Semi,customer_demographics,cd_demo_sk,109760,customer,c_current_cdemo_sk,1705,103,1,=,11800783
c86892b6d2937a1c,Semi,customer_address,ca_address_sk,100000,customer,c_current_addr_sk,5449,10847,1,=,2945184
c86892b6d2937a1c,Semi,household_demographics,hd_demo_sk,10847,customer,c_current_hdemo_sk,1200,1705,1,=,598299
c86892b6d2937a1c,Inner,customer_address,ca_address_sk,1705,customer,c_current_addr_sk,5449,1705,1,=,445895
c86892b6d2937a1c,Inner,household_demographics,hd_demo_sk,1705,customer,c_current_hdemo_sk,1200,1705,1,=,206953
c86892b6d2937a1c,Inner,customer_demographics,cd_demo_sk,103,customer,c_current_cdemo_sk,1705,103,1,=,193892
c86892b6d2937a1c,Inner,catalog_returns,cr_returning_customer_sk,1,customer,c_customer_sk,103,1,1,=,48264
c86892b6d2937a1c,Inner,catalog_returns,cr_returned_date_sk,30,date_dim,d_date_sk,1,1,1,=,47844
c86892b6d2937a1c,Inner,catalog_returns,cr_call_center_sk,1,call_center,cc_call_center_sk,6,1,1,=,47355
aecea1dd577191a6,Semi,customer_address,ca_address_sk,71763,web_returns,wr_refunded_addr_sk,9548,13145,1,=,2378526
aecea1dd577191a6,Inner,customer_demographics,cd_demo_sk,164640,web_returns,wr_refunded_cdemo_sk,13145,1094,1,=,20667416
aecea1dd577191a6,Inner,reason,r_reason_sk,1094,web_returns,wr_reason_sk,35,1085,1,=,209397
aecea1dd577191a6,Inner,customer_address,ca_address_sk,1085,web_returns,wr_refunded_addr_sk,9548,1085,1,=,551781
aecea1dd577191a6,Semi,customer_demographics,cd_demo_sk,1920800,web_returns,wr_returning_cdemo_sk,1085,1075,1,=,40927702
aecea1dd577191a6,Semi,customer_address,ca_address_sk,71763,web_returns,wr_refunded_addr_sk,9548,13145,1,=,2378526
aecea1dd577191a6,Inner,customer_demographics,cd_demo_sk,164640,web_returns,wr_refunded_cdemo_sk,13145,1094,1,=,20667416
aecea1dd577191a6,Inner,reason,r_reason_sk,1094,web_returns,wr_reason_sk,35,1085,1,=,209397
aecea1dd577191a6,Inner,customer_address,ca_address_sk,1085,web_returns,wr_refunded_addr_sk,9548,1085,1,=,551781
aecea1dd577191a6,Semi,web_sales,ws_sold_date_sk,719384,date_dim,d_date_sk,366,142182,1,=,8275460
aecea1dd577191a6,Inner,web_sales,ws_sold_date_sk,142182,date_dim,d_date_sk,366,142182,1,=,5915164
aecea1dd577191a6,Inner,web_sales,ws_web_page_sk,142182,web_page,wp_web_page_sk,60,142166,1,=,6053947
aecea1dd577191a6,Semi,web_sales,ws_sold_date_sk,719384,date_dim,d_date_sk,366,142182,1,=,8275460
aecea1dd577191a6,Inner,web_sales,ws_sold_date_sk,142182,date_dim,d_date_sk,366,142182,1,=,5915164
aecea1dd577191a6,Inner,web_sales,ws_web_page_sk,142182,web_page,wp_web_page_sk,60,142166,1,=,6053947
aecea1dd577191a6,Semi,web_sales,ws_sold_date_sk,719384,date_dim,d_date_sk,366,142182,1,=,8275460
aecea1dd577191a6,Inner,web_sales,ws_sold_date_sk,142182,date_dim,d_date_sk,366,142182,1,=,5915164
aecea1dd577191a6,Inner,web_sales,ws_web_page_sk,142182,web_page,wp_web_page_sk,60,142166,1,=,6053947
aecea1dd577191a6,Semi,web_sales,ws_order_number,1085,web_returns,wr_order_number,12209,140,1,=,1572995
aecea1dd577191a6,Inner,customer_demographics,cd_demo_sk,1075,web_returns,wr_returning_cdemo_sk,140,139,1,=,356912
aecea1dd577191a6,Semi,web_sales,ws_sold_date_sk,719384,date_dim,d_date_sk,366,142182,1,=,8275460
aecea1dd577191a6,Inner,web_sales,ws_sold_date_sk,142182,date_dim,d_date_sk,366,142182,1,=,5915164
aecea1dd577191a6,Inner,web_sales,ws_web_page_sk,142182,web_page,wp_web_page_sk,60,142166,1,=,6053947
aecea1dd577191a6,Semi,web_sales,ws_sold_date_sk,719384,date_dim,d_date_sk,366,142182,1,=,8275460
